Basic,Basic,Basic,Basic,InitInfoFun,InitInfoFun,InitInfoFun,InitInfoFun,UartPortFun,UartComFun,UartComFun,UartComFun,UartComFun,UartComFun,InitInfoFun,CutOutFun,InitInfoFun,JudgeFun,JudgeFun,JudgeFun,JudgeFun,SleepFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun
TestGroup,TestProcess,Step,Enable,FailStop,RetryTimes,DelayTime,Remark,Baud,UartDevice,Cmd,SendEndSympol,TimeOut,RecEndSympol,InPutKey,Script,OutKey,DataType,UpLimit,LowLimit,Units,Sleep,SendId,ReceiveId,Device,Channel,Type,SendMode,Data,Analyse
DC,power off ACTION,InitInfoFun,TRUE,TRUE,2,,,,,Lock,,,,*s_SN,main:Enable_BLE_DTM_mode_RX,fre:signal,,,,,,,,,,,,,
DC,power off ACTION,CutOutFun,TRUE,,,,,,,,,,,*battery,main:power_off,s,,,,,,,,,,,,,
DC,power off ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,power on ACTION,InitInfoFun,TRUE,TRUE,,,,,,Lock,,,,*battery:8.3:3,main:power_on,s,NUMBER,0.2,0.05,A,500,,,,,,,,
DC,power on ACTION,CutOutFun,TRUE,,,,,,,,,,,*multimeter:201,main:channel_open,s,,,,,,,,,,,,,
DC,power on ACTION,UartComFun,TRUE,FALSE,,,,9600,CtrolBoard,INWARD,,15,OK,,,,,,,,,,,,,,,,
DC,power on ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,power on ACTION,CutOutFun,TRUE,,,,,,,,,,,*battery:7.4:3,main:power_on,s,,,,,,,,,,,,,
DC,power on ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,MfgMode,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enable_CDC,s,,,,,,,,,,,,,
DC,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC,MfgMode,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,FUEL Gage readings,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,FUEL Gage readings,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_fuel_gage,s,,,,,,,,,,,,,
DC,FUEL Gage readings,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,20,10,,,,,,,,,,
