Basic,Basic,Basic,Basic,InitInfoFun,InitInfoFun,InitInfoFun,InitInfoFun,UartPortFun,UartComFun,UartComFun,UartComFun,UartComFun,UartComFun,InitInfoFun,CutOutFun,InitInfoFun,JudgeFun,JudgeFun,JudgeFun,JudgeFun,SleepFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun
TestGroup,TestProcess,Step,Enable,FailStop,RetryTimes,DelayTime,Remark,Baud,UartDevice,Cmd,SendEndSympol,TimeOut,RecEndSympol,InPutKey,Script,OutKey,DataType,UpLimit,LowLimit,Units,Sleep,SendId,ReceiveId,Device,Channel,Type,SendMode,Data,Analyse
DC,power on ACTION,InitInfoFun,TRUE,FALSE,,,,,,Lock,,,,s,,,NUMBER,0.2,0.05,A,500,,,,,,,,
DC,power on ACTION,CutOutFun,TRUE,,,,,,,,,,,*multimeter:201,main:channel_open,s,,,,,,,,,,,,,
DC,power on ACTION,UartComFun,TRUE,FALSE,,,,9600,CtrolBoard,INWARD,,5,OK,,,,,,,,,,,,,,,,
DC,power on ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,power on ACTION,CutOutFun,TRUE,,,,,,,,,,,*battery:7.4:3,main:power_on,s,,,,,,,,,,,,,
DC,power on ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,10000,,,,,,,,
DC,MfgMode,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC,MfgMode,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,get_fw_version,InitInfoFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,get_fw_version,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:get_fw_version,s,,,,,,,,,,,,,
DC,get_fw_version,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,1.15.230,1.15.230,,,,,,,,,,
DC,get_fw_version,SleepFun,FALSE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,get_device_id,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,get_device_id,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_device_id,s,,,,,,,,,,,,,
DC,get_device_id,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,NA,NA,,,,,,,,,,
DC,get_device_id,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FULL MUX TEST,InitInfoFun,FALSE,TRUE,2,,,,,,,,,,,,,,,,,,,,,,,,
DC,FULL MUX TEST,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:full_mux_test,s,,,,,,,,,,,,,
DC,FULL MUX TEST,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,FULL MUX TEST,SleepFun,FALSE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,power off ACTION,InitInfoFun,TRUE,FALSE,,,,,,Lock,,,,,,,,,,,,,,,,,,,
DC,power off ACTION,CutOutFun,TRUE,,,,,,,,,,,*battery,main:power_off,s,,,,,,,,,,,,,
DC,power off ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,power off ACTION,CutOutFun,TRUE,,,,,,,,,,,*multimeter:201,main:channel_open,s,,,,,,,,,,,,,
DC,power off ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
TestEnd,TestEnd,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
TestEnd,TestEnd,PassToUart,TRUE,FALSE,,,,9600,CtrolBoard,PASS,,5,,,,,,,,,,,,,,,,,
