Basic,Basic,Basic,Basic,InitInfoFun,InitInfoFun,InitInfoFun,InitInfoFun,UartPortFun,UartComFun,UartComFun,UartComFun,UartComFun,UartComFun,InitInfoFun,CutOutFun,InitInfoFun,JudgeFun,JudgeFun,JudgeFun,JudgeFun,SleepFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun
TestGroup,TestProcess,Step,Enable,FailStop,RetryTimes,DelayTime,Remark,Baud,UartDevice,Cmd,SendEndSympol,TimeOut,RecEndSympol,InPutKey,Script,OutKey,DataType,UpLimit,LowLimit,Units,Sleep,SendId,ReceiveId,Device,Channel,Type,SendMode,Data,Analyse
DC UNIT,MfgMode,InitInfoFun,TRUE,FALSE,,,,,CtrolBoard,,,,,,,,,,,,,,,,,,,,
DC UNIT,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enable_CDC,s,,,,,,,,,,,,,
DC UNIT,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC UNIT,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC UNIT,MfgMode,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC UNIT,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC UNIT,communicate with the MUX,InitInfoFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC UNIT,communicate with the MUX,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:full_mux_test,s,,,,,,,,,,,,,
DC UNIT,communicate with the MUX,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC UNIT,communicate with the MUX,SleepFun,FALSE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC UNIT,get_rs485_send,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC UNIT,get_rs485_send,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:rs485_send,s,,,,,,,,,,,,,
DC UNIT,get_rs485_send,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC UNIT,get_rs485_send,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC UNIT,get_rs485_receive,InitInfoFun,TRUE,TRUE,2,,,,,,,,,,,,,,,,,,,,,,,,
DC UNIT,get_rs485_receive,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:rs485_receive,s,,,,,,,,,,,,,
DC UNIT,get_rs485_receive,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC UNIT,get_rs485_receive,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
TestEnd,TestEnd,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
TestEnd,TestEnd,PassToUart,TRUE,FALSE,,,,9600,CtrolBoard,TKOPEN,,0,,,,s,,,,,,,,,,,,,
TestEnd,TestEnd,FailToUart,TRUE,FALSE,,,,9600,CtrolBoard,TKOPEN,,0,,,,,,,,,,,,,,,,,
