Basic,Basic,Basic,Basic,InitInfoFun,InitInfoFun,InitInfoFun,InitInfoFun,UartPortFun,UartComFun,UartComFun,UartComFun,UartComFun,UartComFun,InitInfoFun,CutOutFun,InitInfoFun,JudgeFun,JudgeFun,JudgeFun,JudgeFun,SleepFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun
TestGroup,TestProcess,Step,Enable,FailStop,RetryTimes,DelayTime,Remark,Baud,UartDevice,Cmd,SendEndSympol,TimeOut,RecEndSympol,InPutKey,Script,OutKey,DataType,UpLimit,LowLimit,Units,Sleep,SendId,ReceiveId,Device,Channel,Type,SendMode,Data,Analyse
DC UNIT,MfgMode,InitInfoFun,TRUE,FALSE,,,,,CtrolBoard,,,,,,,,,,,,,,,,,,,,
DC UNIT,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enable_CDC,s,,,,,,,,,,,,,
DC UNIT,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC UNIT,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC UNIT,MfgMode,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC UNIT,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC UNIT,device id-check,InitInfoFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC UNIT,device id-check,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:get_device_id_check,s:device,,,,,,,,,,,,,
DC UNIT,device id-check,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC UNIT,device id-check,SleepFun,FALSE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC UNIT,device id-device_id,InitInfoFun,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC UNIT,device id-device_id,JudgeFun,FALSE,,,,,,,,,,,device,,,NUMBER,NA,NA,,,,,,,,,,
DC UNIT,device id-device_id,SleepFun,FALSE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC UNIT,FUEL Gage readings,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC UNIT,FUEL Gage readings,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_fuel_gage,s,,,,,,,,,,,,,
DC UNIT,FUEL Gage readings,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,100,60,,,,,,,,,,
DC UNIT,FUEL Gage readings,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
TestEnd,TestEnd,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
TestEnd,TestEnd,PassToUart,TRUE,FALSE,,,,9600,CtrolBoard,TKOPEN,,0,,,,s,,,,,,,,,,,,,
TestEnd,TestEnd,FailToUart,TRUE,FALSE,,,,9600,CtrolBoard,TKOPEN,,0,,,,,,,,,,,,,,,,,
