Basic,Basic,Basic,Basic,InitInfoFun,InitInfoFun,InitInfoFun,InitInfoFun,UartPortFun,UartComFun,UartComFun,UartComFun,UartComFun,UartComFun,InitInfoFun,CutOutFun,InitInfoFun,JudgeFun,JudgeFun,JudgeFun,JudgeFun,SleepFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun
TestGroup,TestProcess,Step,Enable,FailStop,RetryTimes,DelayTime,Remark,Baud,UartDevice,Cmd,SendEndSympol,TimeOut,RecEndSympol,InPutKey,Script,OutKey,DataType,UpLimit,LowLimit,Units,Sleep,SendId,ReceiveId,Device,Channel,Type,SendMode,Data,Analyse
DC,INIT ACTION,InitInfoFun,FALSE,FALSE,,,,,CtrolBoard,,,,,c1,,,NUMBER,NA,3000,,,,,,,,,,
DC,INIT ACTION,UartComFun,FALSE,FALSE,,,,9600,RelayBoard,openall,,2,OK,,,,,,,,,,,,,,,,
DC,INIT ACTION,SleepFun,FALSE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,INIT ACTION,UartComFun,FALSE,FALSE,,,,9600,RelayBoard,ON$1$1$2$3$4$5$6$7$8,,2,OK,3,4,,6,7,8,,2,,,,,,,,
DC,INIT ACTION,SleepFun,FALSE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,MFG MODE,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,MFG MODE,SleepFun,TRUE,FALSE,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,MFG MODE,CutOutFun,TRUE,FALSE,,,,,,,,,,*s_SN,main:enable_CDC,s,,,,,,,,,,,,,
DC,MFG MODE,SleepFun,TRUE,FALSE,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,MFG MODE,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC,MFG MODE,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,MFG MODE,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,get_si_device_id_Check,InitInfoFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,get_si_device_id_Check,SleepFun,FALSE,FALSE,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,get_si_device_id_Check,CutOutFun,FALSE,FALSE,,,,,,,,,,*s_SN,main:get_si_device_id_Check,s,,,,,,,,,,,,,
